,id,published,title,reference,year_month,year,month,clean_text,sentiment,polarity,subjectivity
0,39717865,2025-03-07,Emerging lineages A2.2.1 and A2.2.2 of human metapneumovirus (hMPV) in pediatric respiratory infections: Insights from India.,https://pubmed.ncbi.nlm.nih.gov/39717865,2025-03,2025,3,emerging lineage human metapneumovirus hmpv pediatric respiratory infection insight india,neutral,0.0,0.1
1,39738485,2024-12-30,Analysis of respiratory pathogen detection in hospitalized children with acute respiratory tract infections after ending the zero COVID policy.,https://pubmed.ncbi.nlm.nih.gov/39738485,2024-12,2024,12,respiratory pathogen detection hospitalized child acute respiratory tract infection ending zero covid policy,positive,0.6,0.9
2,39726205,2024-12-27,Metapneumovirus-Induced Myocarditis Complicated by Klebsiella pneumoniae Co-Infection: A Case Report.,https://pubmed.ncbi.nlm.nih.gov/39726205,2024-12,2024,12,myocarditis complicated klebsiella pneumoniae report,negative,-0.5,1.0
3,39692898,2024-12-18,"Burden of viral respiratory infections in the pediatric intensive care unit: age, virus distribution, and the impact of the COVID-19 pandemic.",https://pubmed.ncbi.nlm.nih.gov/39692898,2024-12,2024,12,burden viral respiratory infection pediatric intensive care unit age virus distribution impact pandemic,neutral,0.0,0.0
4,39694679,2024-12-18,"Clinical outcomes and severity of laboratory-confirmed RSV compared with influenza, parainfluenza and human metapneumovirus in Australian children attending secondary care.",https://pubmed.ncbi.nlm.nih.gov/39694679,2024-12,2024,12,outcome severity rsv compared influenza parainfluenza human metapneumovirus australian child attending secondary care,negative,-0.09999999999999999,0.13333333333333333
5,39292354,2024-12-07,"Dynamic changes in the circulation of respiratory pathogens in children during and after the containment of the 2019 coronavirus disease pandemic in Kunming, China.",https://pubmed.ncbi.nlm.nih.gov/39292354,2024-12,2024,12,dynamic change circulation respiratory pathogen child containment coronavirus disease pandemic kunming china,neutral,0.0,0.16666666666666666
6,39221771,2024-12-07,Molecular detection and genotyping of HMPV in patients with severe acute respiratory infection in India.,https://pubmed.ncbi.nlm.nih.gov/39221771,2024-12,2024,12,molecular detection genotyping hmpv severe acute respiratory infection india,positive,0.6,0.9
7,39701824,2024-12-07,Viral Acute Lower Respiratory Tract Infections (ALRI) in Rural Bangladeshi Children Prior to the COVID-19 Pandemic.,https://pubmed.ncbi.nlm.nih.gov/39701824,2024-12,2024,12,viral acute lower respiratory tract infection alri rural bangladeshi child prior pandemic,positive,0.19999999999999998,0.3
8,39657017,2024-12-05,Community-Acquired Respiratory Virus Infections: A Threat to Long-Term survivors after Allogeneic Stem Cell Transplant?,https://pubmed.ncbi.nlm.nih.gov/39657017,2024-12,2024,12,respiratory virus infection threat survivor allogeneic stem cell transplant,neutral,0.0,0.0
9,39587598,2024-11-26,Epidemiological characteristics of respiratory pathogens infections among children after the removal of non-pharmaceutical interventions in central China.,https://pubmed.ncbi.nlm.nih.gov/39587598,2024-11,2024,11,epidemiological characteristic respiratory pathogen infection among child removal intervention central china,negative,-0.03333333333333333,0.3583333333333333
10,39561244,2024-11-19,Severe Acute Respiratory Distress Syndrome in an Adult Patient With Human Metapneumovirus Infection Successfully Managed With Veno-Venous Extracorporeal Membrane Oxygenation.,https://pubmed.ncbi.nlm.nih.gov/39561244,2024-11,2024,11,severe acute respiratory distress syndrome adult human metapneumovirus infection successfully managed extracorporeal membrane oxygenation,positive,0.3625,0.5625
